web-color	name	start-date	end-date
F0F8FF	Aliceblue	2018-06-19	
FAEBD7	Antiquewhite	2018-06-19	
00FFFF	Aqua	2018-06-19	
7FFFD4	Aquamarine	2018-06-19	
F0FFFF	Azure	2018-06-19	
F5F5DC	Beige	2018-06-19	
FFE4C4	Bisque	2018-06-19	
000000	Black	2018-06-19	
FFEBCD	Blanchedalmond	2018-06-19	
0000FF	Blue	2018-06-19	
8A2BE2	Blueviolet	2018-06-19	
A52A2A	Brown	2018-06-19	
DEB887	Burlywood	2018-06-19	
5F9EA0	Cadetblue	2018-06-19	
7FFF00	Chartreuse	2018-06-19	
D2691E	Chocolate	2018-06-19	
FF7F50	Coral	2018-06-19	
6495ED	Cornflowerblue	2018-06-19	
FFF8DC	Cornsilk	2018-06-19	
DC143C	Crimson	2018-06-19	
00FFFF	Cyan	2018-06-19	
00008B	Darkblue	2018-06-19	
008B8B	Darkcyan	2018-06-19	
B8860B	Darkgoldenrod	2018-06-19	
A9A9A9	Darkgray	2018-06-19	
006400	Darkgreen	2018-06-19	
A9A9A9	Darkgrey	2018-06-19	
BDB76B	Darkkhaki	2018-06-19	
8B008B	Darkmagenta	2018-06-19	
556B2F	Darkolivegreen	2018-06-19	
FF8C00	Darkorange	2018-06-19	
9932CC	Darkorchid	2018-06-19	
8B0000	Darkred	2018-06-19	
E9967A	Darksalmon	2018-06-19	
8FBC8F	Darkseagreen	2018-06-19	
483D8B	Darkslateblue	2018-06-19	
2F4F4F	Darkslategray	2018-06-19	
2F4F4F	Darkslategrey	2018-06-19	
00CED1	Darkturquoise	2018-06-19	
9400D3	Darkviolet	2018-06-19	
FF1493	Deeppink	2018-06-19	
00BFFF	Deepskyblue	2018-06-19	
696969	Dimgray	2018-06-19	
696969	Dimgrey	2018-06-19	
1E90FF	Dodgerblue	2018-06-19	
B22222	Firebrick	2018-06-19	
FFFAF0	Floralwhite	2018-06-19	
228B22	Forestgreen	2018-06-19	
FF00FF	Fuchsia	2018-06-19	
DCDCDC	Gainsboro	2018-06-19	
F8F8FF	Ghostwhite	2018-06-19	
FFD700	Gold	2018-06-19	
DAA520	Goldenrod	2018-06-19	
808080	Gray	2018-06-19	
008000	Green	2018-06-19	
ADFF2F	Greenyellow	2018-06-19	
808080	Grey	2018-06-19	
F0FFF0	Honeydew	2018-06-19	
FF69B4	Hotpink	2018-06-19	
CD5C5C	Indianred	2018-06-19	
4B0082	Indigo	2018-06-19	
FFFFF0	Ivory	2018-06-19	
F0E68C	Khaki	2018-06-19	
E6E6FA	Lavender	2018-06-19	
FFF0F5	Lavenderblush	2018-06-19	
7CFC00	Lawngreen	2018-06-19	
FFFACD	Lemonchiffon	2018-06-19	
ADD8E6	Lightblue	2018-06-19	
F08080	Lightcoral	2018-06-19	
E0FFFF	Lightcyan	2018-06-19	
FAFAD2	Lightgoldenrodyellow	2018-06-19
D3D3D3	Lightgray	2018-06-19	
90EE90	Lightgreen	2018-06-19	
D3D3D3	Lightgrey	2018-06-19	
